Source,Target,Link
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=o8pkl8VkN6g,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=o8pkl8VkN6g,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=o8pkl8VkN6g,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=o8pkl8VkN6g,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=o8pkl8VkN6g,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=knq_AztZg9w,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=knq_AztZg9w,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=knq_AztZg9w,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=knq_AztZg9w,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=knq_AztZg9w,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ZSYFUJTXo3U,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ZSYFUJTXo3U,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ZSYFUJTXo3U,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ZSYFUJTXo3U,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ZSYFUJTXo3U,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=tecWT6vGZnI,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=tecWT6vGZnI,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=tecWT6vGZnI,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=tecWT6vGZnI,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=tecWT6vGZnI,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ksJUZa6jFpM,1
https://www.youtube.com/user/CNN/videos,https://www.youtube.com/watch?v=ksJUZa6jFpM,1
